Strike Seminar	A	T	T	T	0.6	잠금 장비 세미나로 짐작 가능
Notarization Gift	R	F	T	T	0.7	선물 결합 불성립
Padding Retreat	R	F	T	T	0.75	리트리트 결합 불성립
Booking Tournament	R	F	T	T	0.75	대회 결합 불성립
Honeymoon Flyer	R	F	T	T	0.7	전단물 결합은 소프트웨어 불명
Cafe Quota	R	F	T	T	0.65	한도 대상 불명
Diner Version	R	F	T	T	0.7	버전 결합 불성립
Bistro Schematic	R	F	T	T	0.7	도면 결합 불성립
Pizzeria Record	R	F	T	T	0.7	기록 대상 불명
Deli Quote	A	T	T	T	0.6	케이터링 견적 발행으로 짐작 가능
Dessert Clock	R	F	T	T	0.7	Clock 불명확
Takeout Benefit	R	F	T	T	0.7	Benefit 결합 불성립
Impressioning Tutorial	A	T	T	T	0.6	열쇠 제작 기술 튜토리얼로 짐작 가능
Testimonial Handbook	A	T	T	T	0.6	후기 수집 핸드북으로 짐작 가능
Balcony Timetable	A	T	T	T	0.6	발코니 점검 일정표로 짐작 가능
Picnic Opinion	R	F	T	T	0.7	소견 결합 불성립
Tuning Recommendation	A	T	T	T	0.6	조율 업체 추천으로 짐작 가능
Recovery Seminar	A	T	T	T	0.6	재활 세미나로 짐작 가능
Mortgage Gift	R	F	T	T	0.7	선물 결합 불성립
Intermodal Retreat	R	F	T	T	0.75	리트리트 결합 불성립
Equity Tournament	R	F	T	T	0.75	대회 결합 불성립
Quote Flyer	R	F	T	T	0.7	전단물 결합은 소프트웨어 불명
Brunch Forge	R	F	T	T	0.7	Forge 불성립
Bakery Console	A	T	T	T	0.6	운영 콘솔로 짐작 가능
Pastry Calendar	A	T	T	T	0.6	제작 일정 달력으로 짐작 가능
Bagel Card	A	T	T	T	0.6	단골 로열티 카드 관리로 짐작 가능
Donut Receipt	A	T	T	T	0.6	영수증 발행 관리로 짐작 가능
Espresso Entry	R	F	T	T	0.7	Entry 다의어(항목 참가) 불성립
Latte Allowance	R	F	T	T	0.7	수당 결합 불성립
Toothbrush Value	R	F	T	T	0.7	가치 결합 불성립
Snorkeling Fine	R	F	T	T	0.7	Fine 다의어(벌금) 불성립
Cocktail Attribute	R	F	T	T	0.7	속성 결합 불성립
Toothpaste Field	R	F	T	T	0.7	필드 결합 불성립
Kayaking Token	R	F	T	T	0.7	토큰 결합 불성립
Barista Levy	R	F	T	T	0.7	부과금 결합 불성립
Mouthwash Due	R	F	T	T	0.7	납부 기한 결합이 어색해 불성립
Waterfall Arrears	R	F	T	T	0.7	체불 결합 불성립
Pub Trial	R	F	T	T	0.7	Trial 다의어(시험 재판) 불명확
Mouthguard Graph	R	F	T	T	0.7	그래프 대상 불명
Sunset Manual	R	F	T	T	0.7	매뉴얼 대상 불명
Steakhouse Sketch	R	F	T	T	0.7	스케치 결합 불성립
Smile Outline	R	F	T	T	0.7	개요 결합 불성립
Waterfront Notification	R	F	T	T	0.7	알림 대상 불명
Sushi Widget	R	F	T	T	0.7	위젯 결합 불성립
Breath Repository	R	F	T	T	0.7	저장소 결합 불성립
Boardwalk Calculator	R	F	T	T	0.7	계산 대상 불명
Taco Checker	R	F	T	T	0.7	점검 대상 불명
Snoring Detector	R	F	T	T	0.7	탐지 대상 불명
Beachfront Workshop	R	F	T	T	0.75	Workshop은 실물 공방 결합
Noodle Result	R	F	T	T	0.7	결과 결합 불성립
Bite Streak	R	F	T	T	0.7	연속 기록 결합 불성립
Skyline Trend	R	F	T	T	0.7	추이 대상 불명
Seafood Record	R	F	T	T	0.7	기록 대상 불명
Dentist Copy	R	F	T	T	0.7	Copy 다의어(복사) 불성립
Backpacker Reference	R	F	T	T	0.7	참조 자료는 콘텐츠 형태 불명확
Orthodontist Volume	R	F	T	T	0.7	물량 결합 불성립
Parasailing Progress	R	F	T	T	0.7	진행 대상 불명
Hygienist Rating	R	F	T	T	0.65	평가 대상 불명
Wildlife Reply	R	F	T	T	0.7	회신 결합 불성립
Floss Match	R	F	T	T	0.7	매칭 대상 불명
Lagoon Lookup	A	T	T	T	0.6	라군 투어 검색으로 짐작 가능
Tartar Availability	A	T	T	T	0.6	시술 가능 시간 조회로 짐작 가능
Glacier Broadcast	R	F	T	T	0.7	방송 대상 불명
Fluoride Feedback	A	T	T	T	0.6	시술 피드백 수집으로 짐작 가능
Volcano Renewal	A	T	T	T	0.6	정기 투어 패스 갱신으로 짐작 가능
Sealant Deposit	A	T	T	T	0.6	시술 예약금 관리로 짐작 가능
Daytrip Nomination	R	F	T	T	0.7	추천 대상 불명
Gingivitis Payment	A	T	T	T	0.6	치료 결제 관리로 짐작 가능
Yacht Simulator	R	F	T	T	0.7	시뮬레이터 대상 불명
Bruxism Review	A	T	T	T	0.6	치료 후기 리뷰 수집으로 짐작 가능
Promenade Video	A	T	T	T	0.6	투어 소개 영상으로 짐작 가능
Halitosis Expense	R	F	T	T	0.7	비용 결합 불성립
Rainforest Inventory	A	T	T	T	0.6	투어 장비 재고 관리로 짐작 가능
Periodontitis Checkin	A	T	T	T	0.6	환자 접수 체크인으로 짐작 가능
Desert Length	R	F	T	T	0.7	Length 불명확
Malocclusion Distance	R	F	T	T	0.7	Distance 불명확
Winery Limit	R	F	T	T	0.7	Limit 불명확
Endodontics Clock	R	F	T	T	0.7	Clock 불명확
Periodontics Depth	R	F	T	T	0.7	Depth 불명확
Wax Tutorial	A	T	T	T	0.7	차량 왁싱 튜토리얼, 소비자 실검색
Drain Handbook	A	T	T	T	0.65	배수구 정비 핸드북, 소비자 실검색
Cruise Timetable	A	T	T	T	0.6	크루즈 일정표로 짐작 가능
Violin Opinion	R	F	T	T	0.7	소견 결합 불성립
Expense Seminar	A	T	T	T	0.6	경비 관리 세미나로 짐작 가능
Clause Gift	R	F	T	T	0.7	선물 결합 불성립
Listing Tournament	R	F	T	T	0.75	대회 결합 불성립
Claim Flyer	R	F	T	T	0.7	전단물 결합은 소프트웨어 불명
Vacuum Tutorial	A	T	T	T	0.65	풀 청소기 사용 튜토리얼로 짐작 가능
Dent Handbook	A	T	T	T	0.65	패널 복원 핸드북으로 짐작 가능
Overflow Timetable	A	T	T	T	0.6	배수 점검 일정표로 짐작 가능
Landmark Opinion	R	F	T	T	0.7	소견 결합 불성립
Saxophone Recommendation	A	T	T	T	0.6	연습곡·교재 추천으로 짐작 가능
